track_id,user_id,playcount
TRIRLYL128F42539D1,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRFUPBA128F934F7E1,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRLQPQJ128F42AA94F,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRTUCUY128F92E1D24,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRHDDQG12903CB53EE,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRGRDEC128F423C07D,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRRYCBO128F932A2C7,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRUTULC128F4293712,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRAAHSY128F147BB5C,b80344d063b5ccb3212f76538f3d9e43d87dca9e,2
TRDLMWP128F426BF6C,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRMSZXT128F92F7816,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRVODUZ128F934D094,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRLXSNR128F429361D,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRPUGUW128F426BF6F,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRAUCNU128F42671EB,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRVVWSW128F4292931,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRADVZX128F426BF79,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRDCZUX128F4263A74,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRUYKTB128F1459197,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
